title,rank,username,upDate,eyeNum,commentNum
[原创]新人PWN入坑总结(三),优秀,PIG-007,・2021-8-2 17:32, 1559, 0

[原创]新人PWN入坑总结(二),优秀,PIG-007,・2021-8-2 17:19, 1669, 0

[原创]新人PWN入坑总结(一),优秀,PIG-007,・2021-8-2 16:20, 1898, 0

[原创]记一次lpk劫持样本分析,优秀,0xNOPE,・2021-8-1 21:45, 2782, 2

[原创]CVE-2011-0027 Microsoft Data Access Components整数溢出漏洞分析,优秀,LarryS,・2021-8-1 18:22, 2193, 0

[原创]cybricsctf-paired,优秀,margina1,・2021-7-30 21:09, 1299, 0

[原创]xhook+xp改机尝试,关注,chionyuna,・2021-7-30 16:38, 4079, 5

[原创]使用frida/xposed对某灰色APP进行暴力破解,关注,古月浪子,・2021-7-30 15:38, 4754, 12

[原创]开源一个基于C++的shellcode框架,关注,windpiaoxue,・2021-7-29 18:00, 3190, 9

[原创]一次对CryptoShield勒索软件的详细分析报告,精华,ISh_LLL,・2021-7-29 16:59, 3029, 5

基于lldb的trace脚本<辅助算法分析，算法还原，以及算法验证>,关注,梦中的香,・2021-7-29 16:40, 1994, 2

模仿Cheat Engine内存搜索——（Sunday算法）,关注,KongKong20,・2021-7-29 09:59, 1462, 0

[原创]家用路由器漏洞挖掘实例分析[图解D-LINK DIR-815多次溢出漏洞],精华,herculiz,・2021-7-29 09:50, 3682, 4

[原创]编译与链接学习笔记(1)——静态链接,优秀,34r7hm4n,・2021-7-28 23:54, 1467, 0

[原创]OLLVM Deflattener,优秀,erfze,・2021-7-26 22:23, 4075, 13

[原创]对无重定位表的PE文件模拟启动的另一种思路，欢迎各位交流讨论。,关注,肱桡鸡,・2021-7-26 18:09, 1382, 0

通过2015年AliCrackMe学习Android逆向（一）,优秀,直木,・2021-7-26 12:45, 5074, 4

[原创] Cocos2dlua手游 Lua解密与资源解密实战,精华,sunfishi,・2021-7-24 22:17, 5572, 8

[原创][PwnMonkey]云丁鹿客门锁BLE通信的分析,精华,胡一米,・2021-7-24 17:59, 4565, 3

将js代码注入到第三方CEF应用程序的一点浅见,优秀,renbohan,・2021-7-23 22:41, 3454, 2

[原创]我竟然发现了书中的一个bug：CVE-2010-2553 堆溢出漏洞分析,精华,LarryS,・2021-7-22 18:37, 5087, 1

[原创]微信 PC端 数据库 自动解密,关注,wx_御史神风,・2021-7-22 15:43, 5245, 6

[原创]CVE-2021-3438打印机驱动SSPORT.sys提权（内核写内存）分析,关注,CIVIL哈,・2021-7-22 15:17, 1831, 1

[原创]木马Vadchdhv.exe样本分析（上）,关注,mb_vwydcgbt,・2021-7-21 17:35, 1689, 0

[原创]在调试器下观察Linux内核的数据包发送过程,优秀,birdring,・2021-7-21 15:45, 1682, 0

内核学习-系统调用下,关注,pyikaaaa,・2021-7-21 11:33, 1629, 0

内核学习-系统调用上,优秀,pyikaaaa,・2021-7-20 20:44, 2138, 1

cocos2d逆向入门和某捕鱼游戏分析,优秀,挤蹭菌衣,・2021-7-20 12:05, 7443, 17

[原创]另一种绕过 Android 9以上非SDK接口调用限制的方法,精华,WindStormy,・2021-7-20 01:31, 6364, 4

[原创]GlobeImposter家族的病毒样本分析,优秀,pyikaaaa,・2021-7-19 22:14, 4342, 2

[原创]内核学习-双机调试环境搭建,优秀,pyikaaaa,・2021-7-19 21:34, 4792, 6

[原创]用机器码执行的区别来区分32位和64位环境,关注,危楼高百尺,・2021-7-19 17:46, 4641, 12

Windows驱动编程之NetFilter SDK,优秀,一半人生,・2021-7-19 17:15, 6135, 25

[原创]抓包神器之Charles配置和使用手册,优秀,灵风_spirit,・2021-7-19 16:02, 5442, 0

[原创]Galgame汉化中的逆向（六）：动态汉化分析_以MAJIROv3引擎为例,精华,devseed,・2021-7-18 22:05, 5704, 8

[原创]CVE-2017-13286漏洞分析及利用,关注,Hambur,・2021-7-18 20:34, 5006, 0

[原创]MapoAnalyzer v1.2 - x64dbg 上的代码分析、反编译插件,关注,demoscene,・2021-7-18 16:22, 4985, 16

[原创] 对设备id风控采集信息的分析,关注,DirtyAngle,・2021-7-18 16:12, 7157, 16

[原创][原创]ApiSetSchema/API集-解析,优秀,wx_不够,・2021-7-17 18:13, 5023, 3

[原创]MEMZ彩虹病毒分析,优秀,天象独行,・2021-7-17 17:02, 4661, 0

[原创]VMProtect分析（三）,精华,Anakin Stone,・2021-7-16 18:26, 5864, 4

[原创]某生鲜电商sign签名算法分析,关注,灵风_spirit,・2021-7-16 11:53, 5122, 3

[原创]概述APK完整性保护的逆向分析及防护策略,关注,SilverBullet,・2021-7-16 00:44, 6204, 3

[原创]看我攻破所谓的“安全系统”,优秀,wmsuper,・2021-7-15 16:37, 4022, 21

Windows驱动编程之WFP/TDI,精华,一半人生,・2021-7-15 08:42, 6302, 5

[原创]dex起步探索,优秀,misskings,・2021-7-14 21:49, 7373, 9

[原创]记一道Android算法逆向题,关注,neilwu,・2021-7-14 19:31, 5460, 4

[原创]不一样的玩法儿：基于反编译器的Frida支持,精华,gjden,・2021-7-14 15:35, 9842, 70

[原创]【分析记录】疑似Confucius组织组件CuoliVXaRAT分析,优秀,binlmmhc,・2021-7-14 00:28, 4277, 2

[原创]新的漏洞分析体验：CVE-2010-3333 RTF栈缓冲区溢出漏洞,优秀,LarryS,・2021-7-13 18:47, 4125, 0

[原创]VMProtect分析（二）,优秀,Anakin Stone,・2021-7-13 17:58, 4514, 3

[原创]某鹅安全竞赛20年初赛ring0题解,精华,危楼高百尺,・2021-7-13 15:28, 5225, 10

[原创]某商超小程序加密算法解析,关注,灵风_spirit,・2021-7-12 23:00, 4392, 0

[原创]关于双系统挖矿，新型AutoUpdate挖矿病毒的分析与讨论,优秀,F4our444,・2021-7-12 20:23, 4809, 3

[原创]分享一个自己写的手动映射PE文件源码,关注,cslime,・2021-7-12 17:43, 4148, 2

[原创]魔改CobaltStrike：beacon浅析(下),精华,快乐鸡哥,・2021-7-11 16:08, 3945, 3

[原创]linux-shell编程[基础一把梭!],关注,钢针,・2021-7-9 19:34, 3565, 0

[原创]初识iOS逆向学习笔记之Hopper,优秀,kzzll,・2021-7-9 13:49, 5675, 1

[原创]一个ThalliumAPT样本分析,优秀,pyikaaaa,・2021-7-7 13:49, 3855, 3

[原创]某工控CTF逆向分析,优秀,obabydbg,・2021-7-6 20:36, 4163, 1

[原创]X86内核笔记_2_驱动开发,精华,SSH山水画,・2021-7-6 19:53, 5016, 17

[原创]没有比我更详细的CVE-2010-2883分析了,精华,LarryS,・2021-7-6 18:57, 4637, 0

[原创]VMProtect分析（一）,优秀,Anakin Stone,・2021-7-6 18:50, 5459, 9

[原创]unidbg过混淆过的arm64程序初体验,关注,wx_Fruits Basket,・2021-7-6 17:24, 6304, 0

[原创]某生鲜电商mfsig加密算法解析,关注,灵风_spirit,・2021-7-6 16:35, 7163, 15

[原创]NFC中继攻击分享,优秀,华云安,・2021-7-6 11:03, 5336, 7

[原创]Windows Kernel Exploitation Notes(二)——HEVD Write-What-Where,优秀,erfze,・2021-7-5 23:03, 2894, 0

理解fps游戏中的矩阵,关注,ookkaa,・2021-7-5 18:08, 4657, 10

[原创] GhidraDec 编译测试,关注,tritium,・2021-7-5 17:39, 2682, 3

[原创]利用CVE-2020-0986实现IE沙箱逃逸,优秀,天玄SecLab,・2021-7-5 17:29, 4545, 0

[原创]Charles 移动设备抓包,关注,ericshui,・2021-7-5 07:59, 6008, 1

[原创]MTCTF-PSA-Writeup,优秀,vagr4nt,・2021-7-5 02:33, 3307, 0

[原创]windows C/C++ SOCKET-TCP 远程CMD命令执行,关注,For@*,・2021-7-4 21:26, 4442, 3

[原创]android 11 手动root笔记,优秀,tacesrever,・2021-7-4 21:14, 9039, 24

[原创]关于一次在pwnable.kr中input题目的经历(python3),优秀,ybaibai,・2021-7-3 20:31, 4023, 1

[原创] Linux内核代码审计之CVE-2018-5703,精华,evilpan,・2021-7-3 15:23, 4121, 4

[原创] Linux内核代码审计之CVE-2018-9568(WrongZone),精华,evilpan,・2021-7-3 15:19, 4081, 3

[原创]android app漏洞入门学习小记-自定义权限和content provider,关注,ChicWalk,・2021-7-1 18:46, 5597, 1

[原创]某知笔记服务端docker镜像授权分析,优秀,HOWMP,・2021-6-30 17:32, 3698, 5

[原创]angr学习（三）一道自己模仿着出的简单题和angr-ctf符号化输入相关题目,优秀,直木,・2021-6-30 17:20, 2547, 0

[原创][庆祝建党]2021GKCTF-WP(NAN),优秀,SYJ-Re,・2021-6-29 16:07, 3735, 1

[原创][庆祝建党]一次上当受骗的样本分析经验,优秀,LarryS,・2021-6-29 10:59, 5618, 10

[原创]《ret2pwn》技术利用新思路,关注,For@*,・2021-6-29 00:03, 4256, 0

[分享]Windows初始化过程,优秀,灵幻空间,・2021-6-28 18:22, 6462, 11

[原创]通过Hook InterruptObject来躲避pcHunter的检查,优秀,危楼高百尺,・2021-6-28 15:58, 5086, 0

[原创]一道简单的ollvm算法题还原,关注,wyongcan,・2021-6-28 00:08, 7154, 1

[原创]小菜花的frida-gadget持久化方案汇总,关注,huaerxiela,・2021-6-27 21:41, 8393, 12

[原创]office病毒分析资料整理,精华,tobeabel,・2021-6-27 21:25, 5169, 3

[原创]Windows Kernel Exploitation Notes(一)——HEVD Stack Overflow,精华,erfze,・2021-6-26 22:06, 4079, 1

[原创]物理地址、线性地址、逻辑地址之我见,关注,khristian,・2021-6-26 17:31, 4417, 0

[原创]house of pig详解,精华,Lpwn,・2021-6-26 17:14, 5029, 3

[原创]ReverseRAT远控分析,关注,binlmmhc,・2021-6-26 16:06, 2424, 0

[原创]Pwn堆利用学习——Unsortedbin Attack——HITCON_Training_lab14_magicheap,优秀,直木,・2021-6-25 17:19, 5286, 2

[原创]win10 1909逆向（ALPC通信原理浅析）,优秀,学技术打豆豆,・2021-6-25 14:48, 5424, 7

[原创]菜鸟学飞之frida整合怪,精华,misskings,・2021-6-24 20:58, 12879, 32

[原创]XX之NTDLL随机化“逆向”（XP系统）,优秀,烟花易冷丶,・2021-6-24 11:54, 3843, 6

[原创]处理VM的一种特殊方法和思路,优秀,SYJ-Re,・2021-6-24 02:04, 4359, 7

[原创]Pwn堆利用学习——Fastbin-Arbitrary Alloc——0ctf2017-babyheap,精华,直木,・2021-6-23 15:55, 5618, 3

[原创]记一次Word宏Downloader样本分析,优秀,0xNOPE,・2021-6-23 01:03, 2811, 0

[原创]android app漏洞入门学习小记,优秀,ChicWalk,・2021-6-22 18:36, 8633, 2

[原创]ms08-067及msf exploit调试与分析,优秀,LarryS,・2021-6-22 15:25, 5588, 0

[原创]如何成为专业的恶意软件研究员,优秀,熊猫正正,・2021-6-22 09:28, 3455, 2

[求助]Vivo Mediatek机型LK(ABOOT)文件Android Verify Boot校验的困惑和一点研究,关注,mb_iolubvlg,・2021-6-21 23:36, 7967, 11

[原创]ollvm算法还原案例分享,关注,奔跑的阿狸,・2021-6-21 22:25, 7995, 8

[原创]一次对tx御安全的脱壳,关注,Dyingchen,・2021-6-21 18:53, 9733, 14

[原创]对安卓反调试和校验检测的一些实践与结论,优秀,Dyingchen,・2021-6-20 20:44, 9959, 13

[原创]LordPE在win10无法工作折腾笔记-死而复生,优秀,anhkgg,・2021-6-20 18:04, 5432, 8

[原创] CISCN 2021 逆向题 CISCN_gift WP,优秀,Potat0,・2021-6-20 13:51, 4958, 5

[原创]2021强网杯Reverse-LongTimeAgo,优秀,SYJ-Re,・2021-6-18 14:33, 6539, 5

"[原创]以""2021强网杯unicorn_like_a_pro""入门unicorn",精华,SYJ-Re,・2021-6-17 20:13, 7054, 12

[原创]Bingo.png图片逆向分析,优秀,yiting,・2021-6-17 20:01, 6700, 11

[原创]某app广告太多，看不下去了，逆一波,精华,whulzz,・2021-6-17 11:07, 13048, 14

[原创]使用unicorn对ollvm字符串进行解密,优秀,新萌,・2021-6-16 21:57, 8241, 0

[原创]AndroidNativeEmu和unidbg对抗ollvm的字符串混淆,优秀,misskings,・2021-6-16 21:10, 8119, 3

[原创]动态静态逐步分析熊猫烧香,优秀,wx_dopeusa91,・2021-6-16 20:52, 4924, 3

[翻译]bh-dc-07-Sabanal_Yason-WP,优秀,mb_bkzfwnlo,・2021-6-15 18:04, 5378, 4

Pwnable.tw orw writeup,关注,haha2,・2021-6-15 15:39, 4502, 0

[原创]Frida-syscall-interceptor,优秀,fenfei331,・2021-6-15 11:18, 8389, 5

[原创] 强网杯 几道pwn题的writeup by syclover,优秀,77pray,・2021-6-15 00:11, 6356, 5

强网杯: unicorn_like_a_pro,精华,无名侠,・2021-6-14 21:28, 7751, 16

[原创]恶意程序分析-去除恶意程序混淆-学习记录,优秀,天象独行,・2021-6-14 10:34, 5041, 4

[原创]CVE-2012-0158 office缓冲区溢出漏洞报告【千字长文】,精华,钢针,・2021-6-12 22:18, 6050, 8

[原创]Use-after-free之lab 10 hacknote,优秀,凡人_,・2021-6-12 11:10, 5933, 0

[原创][原创]Android恶意样本WifiKillerpro.apk分析,关注,随风而行aa,・2021-6-12 10:14, 7353, 8

攻防世界-PWN-高手进阶区-难度3到4-全部题解,优秀,顾言庭,・2021-6-12 02:00, 6274, 0

[原创]分享下wow PE section保护技术,关注,小希希,・2021-6-11 23:06, 7078, 9

[原创]Ret2libc 学习记录笔记,关注,天象独行,・2021-6-11 21:36, 6050, 4

[原创]2020网鼎杯 白虎组 b64 精析,优秀,xianxiong,・2021-6-11 10:02, 5337, 0

Go语言逆向初探,优秀,半个大西瓜,・2021-6-11 09:49, 5588, 9

[原创]EasyAnticheat的内存特征算法,优秀,xiaofu,・2021-6-10 13:40, 6837, 7

记一次网关设备的pwn,精华,零加一,・2021-6-10 12:50, 7162, 18

[原创]Windows按键精灵分析,优秀,mb_bkzfwnlo,・2021-6-9 16:02, 5555, 9

[分享] android逆向学习--绕过非标准http框架和非系统ssl库app的sslpinning,优秀,。_879907,・2021-6-8 23:48, 11281, 13

[原创][翻译]反调试：调试标志寄存器,关注,梦幻的彼岸,・2021-6-8 17:17, 3939, 2

[原创]基本语句逆向分析,关注,天象独行,・2021-6-8 17:01, 4929, 6

[原创]用AppComponentFactory实现变种爱加密壳保护的策略分析,关注,mb_vwydcgbt,・2021-6-8 16:34, 6890, 6

[原创]【开源】BlackDex、新版指令回填脱壳，支持修复NOP,关注,SuMilk,・2021-6-8 15:35, 7310, 19

[原创]PE映像切换技术(Process Hollowing)不需要填充IAT表和进行重定位的原因,优秀,危楼高百尺,・2021-6-8 11:03, 4960, 6

[原创][翻译]规避技术：macOS,关注,梦幻的彼岸,・2021-6-8 10:59, 4101, 2

[原创][翻译]规避技术： 类似人类的行为,关注,梦幻的彼岸,・2021-6-8 10:23, 3765, 0

[原创]算法助手！基于Xposed的通用Hook工具,关注,军哥i,・2021-6-7 02:47, 9977, 20

[求助]内核页表随机化的计算公式,关注,小白iii,・2021-6-6 22:41, 3711, 13

[原创]ShellCode学习2：实现ShellCode的加密与自解密,优秀,wx_墨雪妖莲,・2021-6-6 22:04, 4074, 3

[推荐]一个自用安卓BOOT.IMG修改工具(已开源),关注,RiDiN,・2021-6-6 18:16, 7928, 17

[原创][6.1儿童节快乐]基于信息熵判断非PE文件是否加密混淆的方法浅析,优秀,wuxiwudi,・2021-6-5 16:57, 5196, 6

[原创]Android逆向之路---利用Xposed随意更改微信地区(附源码),关注,风月缘,・2021-6-5 02:45, 7344, 1

[原创]Linux内核eBPF模块源码分析——verifier与jit,精华,ScUpax0s,・2021-6-4 09:53, 5915, 2

[原创]ShellCode学习1：最简单的ShellCode生成,优秀,wx_墨雪妖莲,・2021-6-3 21:39, 4311, 0

[原创]SandHook with x86,关注,不吃早饭,・2021-6-3 18:43, 7377, 3

[原创]X86内核笔记_1_CPU保护模式,精华,SSH山水画,・2021-6-3 14:50, 5227, 6

[原创]X86内核笔记_0_配置双机调试环境,优秀,SSH山水画,・2021-6-3 14:45, 4276, 0

[原创][翻译]规避技术： WMI,优秀,梦幻的彼岸,・2021-6-3 13:36, 5222, 2

[翻译]A Crash Course on the Depths of Win32™ Structured Exception Handling 译文,优秀,mb_bkzfwnlo,・2021-6-3 12:37, 5372, 5

[原创]android抓包学习的整理和归纳,精华,misskings,・2021-6-3 11:03, 12686, 21

[讨论]海风月影为什么能黑盒解出龙猫变换的逆变换,优秀,大龙猫,・2021-6-2 22:23, 6724, 9

[原创]一个shellcode的样本学习记录,优秀,大河向东流哇,・2021-6-2 18:19, 4379, 2

[原创] 初入门径 --- 护网钓鱼样本分析,优秀,tobeabel,・2021-6-2 17:59, 4397, 4

[原创][翻译]规避技术： 定时,优秀,梦幻的彼岸,・2021-6-2 16:10, 4209, 0

[原创]关于Cocos2dx-js游戏的jsc文件解密,优秀,北笙ぐ,・2021-6-1 21:42, 8442, 8

[分享] android逆向学习--某小说app的sign算法,优秀,。_879907,・2021-6-1 21:12, 7947, 5

用angr解 Flare-on 2017第3题 - greek_to_me.exe,优秀,向往阳光的月,・2021-6-1 20:51, 3968, 0

[原创]第六题 寻回宝剑,精华,|_|sher,・2021-6-1 19:58, 5220, 2

[原创]手环BLE蓝牙认证绕过，可实现远程控制,优秀,华云安,・2021-6-1 16:40, 7226, 10

[原创]Windows-保护模式-X86-段寄存器结构分析,关注,天象独行,・2021-6-1 16:16, 3260, 2

[原创][翻译]规避技术： 拦截,关注,梦幻的彼岸,・2021-6-1 10:16, 3707, 0

[原创]基于sunday算法的特征码搜索(支持带问号),关注,不吃早饭,・2021-6-1 02:53, 6843, 5

[原创][KCTF2021]第十题 一统江湖 WriteUp ---- 龙猫变换 黑盒解法,精华,海风月影,・2021-5-31 20:04, 6213, 8

[原创][翻译]规避技术： 固件表,关注,梦幻的彼岸,・2021-5-31 16:17, 3514, 0

[原创][翻译]规避技术：硬件,关注,梦幻的彼岸,・2021-5-31 14:35, 3627, 2

[原创]利用chm文件实现病毒程序的蠕虫式横向传播,优秀,某警官,・2021-5-30 23:31, 4768, 0

[原创]SlimHook预告 - 全新安卓ART的Hook框架,关注,lhxdiao,・2021-5-30 15:34, 10657, 25

[原创][2021][KCTF]第十题 一统江湖wp,优秀,ccfer,・2021-5-30 10:55, 5633, 5

[原创]Pwn堆利用学习——Fastbin-Alloc to Stack——9447CTF2015-SearchEngine,优秀,直木,・2021-5-30 10:45, 5249, 2

[原创]快手6.8版本sig3算法破解,优秀,hczhong,・2021-5-28 15:57, 13726, 17

[原创]安全设备的漏洞挖掘,关注,wmsuper,・2021-5-28 15:18, 7064, 2

[原创][翻译]规避技术： CPU,关注,梦幻的彼岸,・2021-5-28 11:48, 3666, 0

[原创]魔改CobaltStrike：命由己造（上）,优秀,快乐鸡哥,・2021-5-28 07:25, 4501, 2

[原创]Bleeding Tooth：Linux蓝牙驱动远程代码执行分析与利用,精华,极目楚天舒,・2021-5-27 20:36, 5606, 3

ELF文件格式与got表hook简单实现,优秀,whulzz,・2021-5-27 15:21, 10248, 11

[原创]关于JustTrustMe对混淆后的App无效的解决方案,关注,军哥i,・2021-5-27 15:08, 6190, 3

[原创] 杭电hgame2021 week2 writeup,优秀,77pray,・2021-5-27 14:06, 4907, 2

[原创] 杭电hgame2021 week1 writeup,优秀,77pray,・2021-5-27 12:52, 5362, 0

[原创] CISCN2021 HMI 工控,优秀,sunfishi,・2021-5-27 12:06, 4978, 2

[原创][翻译]规避技术： 网络,关注,梦幻的彼岸,・2021-5-27 11:14, 3365, 0

[原创]kctf2021 第七题 千里寻根,优秀,sharun,・2021-5-27 10:22, 4898, 0

[原创]kctf2021 第六题 寻回宝剑,优秀,sharun,・2021-5-27 10:18, 4703, 0

[原创]kctf2021 第四题 英雄救美,优秀,sharun,・2021-5-27 10:07, 4645, 0

[原创]kctf2021 第二题 南冥神功,优秀,sharun,・2021-5-27 10:00, 4892, 0

[原创]看雪.深信服 2021 KCTF 春季赛 第九题 平定战乱 WP,优秀,poyoten,・2021-5-26 20:42, 4825, 0

[原创]2021 CISCN gift题解（恢复符号+逆向算法）,优秀,alphc,・2021-5-26 19:31, 3631, 2

[原创]U3D逆向-Mono另类解密,优秀,PlaneJun,・2021-5-26 17:24, 4916, 13

[原创]看雪.深信服 2021 KCTF 春季赛  第九题 平定战乱,精华,mb_mgodlfyn,・2021-5-26 15:55, 5200, 0

[原创]【开源】BlackDex，无需环境，Android新姿势脱壳工具,关注,SuMilk,・2021-5-26 15:50, 10058, 25

[原创]一种不用创建远程线程的NtCreateSection+NtMapViewOfSection代码注入技术,优秀,危楼高百尺,・2021-5-26 15:32, 4634, 4

[原创]2021美团CTF-Re-100mazes,优秀,SYJ-Re,・2021-5-26 01:55, 5128, 0

[原创]另一种绕过Android系统库访问限制的方法,关注,WindStormy,・2021-5-26 01:38, 6157, 6

[原创]第四题 英雄救美,优秀,|_|sher,・2021-5-25 16:33, 4343, 0

[原创]Neepu ctf wp,精华,The_Itach1,・2021-5-25 16:25, 5596, 2

[原创][翻译]规避技术：进程,关注,梦幻的彼岸,・2021-5-25 11:17, 3376, 0

[原创] MTCTF baby_focal PWN writeup,优秀,77pray,・2021-5-25 03:01, 4937, 0

[原创]开源自己的dex-vmp,关注,mkabcd,・2021-5-24 23:28, 7272, 4

[原创]恶意代码GINA拦截样本分析,关注,fickle,・2021-5-24 02:14, 2948, 0

一个远程下载并内存加载PE的office宏病毒,优秀,某警官,・2021-5-23 17:45, 5161, 2

[原创]libsgmain反混淆及VM还原,精华,krash,・2021-5-23 16:39, 16311, 41

[原创]一个烂尾的Android内联hook框架,关注,某警官,・2021-5-23 14:47, 6319, 3

[原创][2021][KCTF] 第七题 千里寻根 wp,优秀,ccfer,・2021-5-23 10:45, 4259, 1

[原创]看雪.深信服 2021 KCTF 春季赛  第七题 千里寻根,精华,mb_mgodlfyn,・2021-5-23 06:19, 5922, 4

[原创]《0day 安全：软件漏洞分析技术 第二版》笔记,优秀,舒默哦,・2021-5-22 17:49, 6223, 3

[原创]第二题 南冥神功,优秀,|_|sher,・2021-5-21 23:19, 4858, 1

[原创]2021 KCTF 春季赛 第七题 千里寻根 解题方法,优秀,KuCha128,・2021-5-21 22:10, 4386, 0

[原创]固件安全之加载地址分析,精华,wmsuper,・2021-5-21 16:37, 6954, 3

[原创]2021看雪KCTF逆向WP,优秀,SYJ-Re,・2021-5-21 15:11, 4638, 0

[原创]Rundll32的故事,优秀,Risks,・2021-5-21 13:47, 5347, 5

[原创][翻译]规避技术：操作系统特征,关注,梦幻的彼岸,・2021-5-21 10:06, 3830, 0

[原创]2021CISCN逆向-little_evil,优秀,SYJ-Re,・2021-5-20 23:34, 4123, 0

[原创]HEVD池溢出系列,优秀,y05hk1,・2021-5-20 11:06, 4790, 0

[原创][翻译]规避技术：用户界面伪装,关注,梦幻的彼岸,・2021-5-20 10:50, 3758, 0

[原创]使用unidbg还原标准ollvm的fla控制流程平坦化,精华,misskings,・2021-5-19 22:50, 8451, 21

[原创]  第六题 寻回宝剑 writeup,优秀,xwwei,・2021-5-19 15:33, 3277, 0

[原创][翻译]规避技术：全局操作系统对象,优秀,梦幻的彼岸,・2021-5-19 14:51, 4260, 0

[原创]看雪.深信服 2021 KCTF 春季赛 第六题 寻回宝剑 WP,优秀,poyoten,・2021-5-19 12:07, 4341, 2

[原创]android ro.debuggable属性调试修改 modprop 2021更新,关注,IamHuskar,・2021-5-19 09:55, 5979, 1

[原创] kctf 第六题 寻回宝剑 wp,优秀,YenKoc,・2021-5-19 01:14, 3913, 0

[原创]看雪.深信服 2021 KCTF 春季赛  第六题 寻回宝剑,精华,mb_mgodlfyn,・2021-5-19 00:15, 3917, 0

[原创]硬件安全相关基础工具介绍------硬件篇,关注,wx_boom_469,・2021-5-18 23:26, 5598, 0

[原创]对VM逆向的分析(CTF)(比较经典的一个虚拟机逆向题目),精华,SYJ-Re,・2021-5-18 21:02, 5489, 3

[原创][翻译]规避技术：文件系统,关注,梦幻的彼岸,・2021-5-18 16:41, 3648, 0

[原创][2021][KCTF] 第六题 寻回宝剑wp,优秀,ccfer,・2021-5-18 14:15, 3921, 2

[原创]2021 KCTF 春季赛 第六题 寻回宝剑 wp,精华,KuCha128,・2021-5-18 13:20, 3771, 0

[原创]从ctf到realworld - CVE-2021-3156 分析复现,优秀,pareto,・2021-5-18 11:50, 5138, 0

[原创]kctf2021 第四题 英雄救美,优秀,Emtanling,・2021-5-17 22:21, 3692, 0

[原创]C++ 代码整理 《Visual C++ 开发实战1200例》数据结构-数组,关注,天象独行,・2021-5-17 17:38, 4467, 0

[原创] [翻译]规避技术：注册表,关注,梦幻的彼岸,・2021-5-17 16:32, 3769, 0

[原创]看雪.深信服 2021 KCTF 春季赛 第五题 华山论剑 WP,优秀,poyoten,・2021-5-17 01:48, 4194, 5

[原创]三个反汇编库的简单介绍和使用,优秀,zuoshang,・2021-5-16 23:28, 5451, 19

[原创]KCTF2021 春季赛 第四题 英雄救美 WP,优秀,AloneWolf,・2021-5-16 21:53, 3348, 0

[翻译]基于堆栈的文件对象,关注,下咯,・2021-5-16 20:54, 3646, 1

[原创]CISCN2021 sliverwolf PWN400,优秀,ScUpax0s,・2021-5-16 19:43, 6063, 4

[分享]udbg在目标进程内动态Hook、执行任意函数,关注,metaworm,・2021-5-16 18:35, 4490, 3

[原创]KCTF2021 第五题 华山论剑 writeup,优秀,Wblank,・2021-5-16 12:32, 3795, 2

